11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight
0,24,20,0,0,50,20,99,94
1,24,20,0,0,50,20,99,94
1,24,20,1,0,99,20,99,94
0,24,21,1,1,99,20,99,94
1,24,20,0,0,99,20,99,99
1,24,20,0,1,99,20,52,99
0,24,21,1,1,49,20,52,99
0,24,21,1,0,49,21,52,99
0,24,20,0,0,49,21,52,99
0,24,20,0,0,49,20,52,99
0,24,20,1,0,49,20,97,99
0,24,20,1,0,49,20,97,99
1,25,20,0,0,99,20,97,99
1,25,20,0,0,99,20,97,99
1,25,20,0,0,99,20,97,99
0,24,21,0,0,99,20,97,89
0,24,21,0,0,99,19,49,89
0,24,21,0,0,24,19,49,89
0,24,21,0,0,24,19,49,89
0,24,21,0,0,24,19,49,89
0,24,21,0,0,24,19,49,99
0,24,21,0,0,24,19,49,99
1,24,21,1,0,24,19,99,99
1,24,21,1,0,75,19,99,99
1,23,22,1,0,75,19,99,99
1,24,22,0,0,75,19,99,99
1,23,21,0,0,75,19,99,99
0,23,23,1,0,75,19,99,99
1,24,22,1,0,75,18,49,99
1,24,22,1,0,75,18,49,99
0,23,22,1,0,71,18,49,99
0,23,22,1,0,71,18,49,99
0,24,22,0,0,71,18,49,99
0,24,22,0,0,71,18,49,50
1,24,22,0,1,71,18,49,50
1,24,22,0,0,71,19,98,50
1,24,22,0,0,93,18,98,50
0,24,22,0,0,93,18,98,50
0,24,22,0,0,93,18,98,93
0,24,22,0,0,93,18,98,93
0,24,22,0,0,93,18,89,93
0,24,22,0,0,93,18,89,93
0,24,22,0,0,93,18,89,93
0,24,22,0,0,93,18,89,93
0,24,22,0,0,99,18,89,93
0,24,22,0,0,99,18,89,99
0,24,22,1,1,99,18,89,99
0,24,22,1,0,99,19,99,99
0,24,22,1,1,99,19,99,99
0,25,23,0,1,3,19,99,99
1,24,21,0,0,3,19,99,74
2,23,21,1,0,3,19,99,74
1,23,21,1,0,3,19,99,74
0,24,22,0,0,3,18,99,74
0,24,22,0,0,3,18,99,74
0,24,22,0,0,98,18,99,74
0,24,22,0,1,98,18,99,74
0,24,22,0,1,98,18,99,99
1,24,22,0,1,98,18,99,99
1,24,22,0,0,98,19,99,99
